Thị giác tác phẩm,Đánh giá,Thế giới,Huyền huyễn,Bối cảnh,Lĩnh vực,Thời không,Bàn tay vàng,NV vào vai,Nhân thiết,Phong cách,Xu hướng,Mối quan hệ,Couple,Giới tính
,,,,,Giải mã,,,Pháp y,Ngu ngốc,Mua cổ văn,Hoa Hạ cực đoan,Thế thân,Nữ cường,
,,,,,Nghiên cứu khoa học,,,Quản gia,Tự ti,Otome,,Song thế thân,1v1,
,,,,,Thể thao,,,Tông chủ,Kiều khí,,,Dưỡng thành,Nhiều CP,
,,,,,Thi đấu cạnh kỹ,,,Đế vương,Nhu nhược,,,Cứu rỗi,NP,
,,,,,Cổ võ,,,Hoàng tử,Nương pháo,,,Khuê mật,Loạn luân,
,,,,,,,,Quyền thần,Thánh mẫu,,,Tình bạn,Phụ tử,
,,,,,,,,Lĩnh chủ,Độc miệng,,,Tình thân,Huynh đệ,
,,,,,,,,Gia chủ,Ác độc,,,Tình địch,Thúc chất,
,,,,,,,,Nam sủng,Giả heo ăn hổ,,,Đối thủ sống còn,Kế phụ,
,,,,,,,,Xướng kỹ,Bạch thiết hắc,,,Mang bầu chạy,Sư đồ,
,,,,,,,,Thái y,Thiên nhiên hắc,,,Mang bầu không chạy,Chủ phó,
,,,,,,,,Ngỗ tác,Phúc hắc,,,Hỏa táng tràng,Song khiết 🕊️,
,,,,,,,,Đạo tặc,Cơ trí,,,Tu la tràng,Phi song khiết 🌂,
,,,,,,,,Sát thủ,Lưu manh,,,Bạn cùng phòng,NP toàn khiết 🕊️,
,,,,,,,,Hòa thượng,Khốc ca,,,Cấp trên cấp dưới,Thụ cao hơn công,
,,,,,,,,Thái giám thật,Mặt dày,,,Hạ khắc thượng,Thụ tráng hơn công,
,,,,,,,,Thái giám giả,Tham ăn,,,Cong bẻ thẳng,Công ysl,
,,,,,,,,Mỹ nhân ngư,Tham tài,,,Thẳng bẻ cong,Công dưa ko khiết,
,,,,,,,,Tang thi,Bình tĩnh,,,Pháo hữu,Công cúc ko khiết,
,,,,,,,,Mị ma,Phật hệ,,,SM,Thụ dưa ko khiết,
,,,,,,,,Tinh linh,Cá mặn,,,NTR,Thụ cúc ko khiết,
,,,,,,,,Ma quỷ,Bình phàm,,,PUA,Giẻ lau,
,,,,,,,,Thần minh,Ôn nhu,,,PTSD,Đổi người yêu,
,,,,,,,,Dũng giả,Dương quang,,,,Đổi công,
,,,,,,,,Phi nhân loại,Nhiệt liệt,,,,Đổi thụ,
,,,,,,,,Giả tưởng sinh vật,Sa điêu,,,,Thụ chuyển công,
,,,,,,,,Ngoại tinh sinh vật,Trung nhị,,,,Công chuyển thụ,
,,,,,,,,Ô nhiễm vật,Cố chấp,,,,Song chết,
,,,,,,,,Chủ bá,Điên phê,,,,,
,,,,,,,,Người chơi,Hắc hóa,,,,,
,,,,,,,,Dân bản xứ,Bệnh kiều,,,,,
,,,,,,,,NPC,Ngạo kiều,,,,,
,,,,,,,,Nhân vật 2D,Biệt nữu,,,,,
,,,,,,,,Nhân vật thức tỉnh,Trung khuyển,,,,,
,,,,,,,,,Chó săn,,,,,
,,,,,,,,,Liếm cẩu,,,,,
,,,,,,,,,Muộn tao,,,,,
,,,,,,,,,Tâm cơ,,,,,
,,,,,,,,,Cực phẩm,,,,,
,,,,,,,,,Trà xanh,,,,,
,,,,,,,,,Bạch liên hoa,,,,,
,,,,,,,,,Hắc liên hoa,,,,,
,,,,,,,,,Thố ti hoa,,,,,
,,,,,,,,,Cấm dục,,,,,
,,,,,,,,,Thanh lãnh,,,,,
,,,,,,,,,Cao lãnh chi hoa,,,,,
,,,,,,,,,Băng sơn,,,,,
,,,,,,,,,Si tình,,,,,
,,,,,,,,,Vô tình,,,,,
,,,,,,,,,Phong lưu,,,,,
,,,,,,,,,Hải vương,,,,,
,,,,,,,,,Ngựa giống,,,,,
,,,,,,,,,Dấm vương,,,,,
,,,,,,,,,Chiếm hữu dục,,,,,
,,,,,,,,,Biến thái,,,,,
,,,,,,,,,Si hán,,,,,
,,,,,,,,,Tháo hán,,,,,
,,,,,,,,,Nhân phu,,,,,
,,,,,,,,,Nhân thê,,,,,
,,,,,,,,,Nam mụ mụ,,,,,
,,,,,,,,,Tàn tật,,,,,
,,,,,,,,,Khuyết tật,,,,,
,,,,,,,,,Cắt miếng,,,,,
,,,,,,,,,Đa nhân cách,,,,,
,,,,,,,,,Mất trí nhớ,,,,,
,,,,,,,,,OOC,,,,,
